timestamp,node_id,counter,soil_pct,raw_data,payload_bytes,rssi,snr,rtt_cloud_ms,decision_latency_ms,jitter_ms,missing_packets,cpu_percent,ram_percent,node_batt_pct,node_current_ma,gateway_batt_pct,gateway_current_ma
2026-04-14T18:03:49.417432,node2,10359,94,"NODE2,10359,376,94",18,-47,14.0,,15.0,0,0,2.1,17.2,0,0,91,0.0
2026-04-14T18:03:51.240597,node1,15274,91,"NODE1,15274,391,91",18,-40,13.0,,15.0,0,0,0.4,17.2,0,0,91,0.0
2026-04-14T18:03:58.990057,node1,15275,92,"NODE1,15275,390,92",18,-41,13.5,,15.0,0,0,2.0,17.2,0,0,91,0.0
2026-04-14T18:04:03.514288,node2,10360,95,"NODE2,10360,373,95",18,-47,12.75,,15.0,0,0,0.1,17.2,0,0,91,0.0
2026-04-14T18:04:06.742071,node1,15276,92,"NODE1,15276,390,92",18,-41,13.75,,15.0,0,0,4.2,17.2,0,0,91,0.0
2026-04-14T18:04:14.490575,node1,15277,91,"NODE1,15277,391,91",18,-41,13.25,,15.0,0,0,0.4,17.2,0,0,91,0.0
2026-04-14T18:04:18.683183,node2,10361,94,"NODE2,10361,378,94",18,-48,12.75,,15.0,0,0,3.7,17.2,0,0,91,0.0
2026-04-14T18:04:25.131353,node1,15278,92,"NODE1,15278,389,92",18,-41,13.5,,15.0,0,0,0.2,17.2,0,0,91,0.0
2026-04-14T18:04:32.779755,node2,10362,95,"NODE2,10362,373,95",18,-47,13.5,,15.0,0,0,2.0,17.2,0,0,91,0.0
2026-04-14T18:04:35.771168,node1,15279,91,"NODE1,15279,391,91",18,-41,13.25,,15.0,0,0,0.5,17.1,0,0,91,0.0
2026-04-14T18:04:46.407195,node1,15280,92,"NODE1,15280,390,92",18,-41,12.75,,15.0,0,0,1.5,17.2,0,0,91,0.0
2026-04-14T18:04:46.874033,node2,10363,95,"NODE2,10363,374,95",18,-46,13.5,,15.0,0,0,1.6,17.2,0,0,91,0.0
2026-04-14T18:04:54.157380,node1,15281,92,"NODE1,15281,390,92",18,-41,13.25,,15.0,0,0,2.2,17.2,0,0,91,0.0
2026-04-14T18:05:00.981194,node2,10364,95,"NODE2,10364,373,95",18,-46,13.5,,15.0,0,0,2.1,17.2,0,0,91,0.0
2026-04-14T18:05:04.796421,node1,15282,91,"NODE1,15282,392,91",18,-41,13.25,,15.0,0,0,0.6,17.2,0,0,91,0.0
2026-04-14T18:05:13.511874,node1,15283,91,"NODE1,15283,391,91",18,-42,13.25,,15.0,0,0,2.0,17.2,0,0,91,0.0
2026-04-14T18:05:15.063651,node2,10365,94,"NODE2,10365,378,94",18,-47,13.25,,15.0,0,0,0.2,17.2,0,0,91,0.0
2026-04-14T18:05:22.224952,node1,15284,92,"NODE1,15284,390,92",18,-40,13.5,,15.0,0,0,0.9,17.2,0,0,91,0.0
2026-04-14T18:05:30.235705,node2,10366,94,"NODE2,10366,377,94",18,-47,12.5,,15.0,0,0,1.4,17.2,0,0,91,0.0
2026-04-14T18:05:32.867203,node1,15285,92,"NODE1,15285,388,92",18,-41,13.5,,15.0,0,0,2.1,17.2,0,0,91,0.0
2026-04-14T18:05:41.577499,node1,15286,92,"NODE1,15286,390,92",18,-41,13.5,,15.0,0,0,1.3,17.2,0,0,91,0.0
2026-04-14T18:05:42.171579,node2,10367,95,"NODE2,10367,374,95",18,-47,13.5,,15.0,0,0,0.8,17.2,0,0,91,0.0
2026-04-14T18:05:50.297392,node1,15287,91,"NODE1,15287,391,91",18,-41,13.75,,15.0,0,0,1.9,17.2,0,0,91,0.0
2026-04-14T18:05:55.182640,node2,10368,95,"NODE2,10368,375,95",18,-47,12.25,,15.0,0,0,3.4,17.2,0,0,91,0.0
2026-04-14T18:05:59.022362,node1,15288,92,"NODE1,15288,389,92",18,-42,13.0,,15.0,0,0,0.1,17.2,0,0,91,0.0
2026-04-14T18:06:07.117595,node2,10369,95,"NODE2,10369,374,95",18,-47,13.25,,15.0,0,0,2.0,17.2,0,0,91,0.0
2026-04-14T18:06:09.643944,node1,15289,91,"NODE1,15289,391,91",18,-40,13.5,,15.0,0,0,0.1,17.2,0,0,91,0.0
2026-04-14T18:06:18.353789,node1,15290,91,"NODE1,15290,391,91",18,-41,13.0,,15.0,0,0,2.0,17.2,0,0,91,0.0
2026-04-14T18:06:22.292068,node2,10370,94,"NODE2,10370,377,94",18,-46,13.75,,15.0,0,0,0.1,17.2,0,0,91,0.0
2026-04-14T18:06:27.067731,node1,15291,91,"NODE1,15291,391,91",18,-40,13.5,,15.0,0,0,1.3,17.2,0,0,91,0.0
2026-04-14T18:06:35.305031,node2,10371,93,"NODE2,10371,381,93",18,-47,13.5,,15.0,0,0,1.4,17.2,0,0,91,0.0
2026-04-14T18:06:35.784265,node1,15292,91,"NODE1,15292,391,91",18,-41,13.75,,15.0,0,0,1.6,17.2,0,0,91,0.0
2026-04-14T18:06:46.419340,node1,15293,92,"NODE1,15293,390,92",18,-41,13.25,,15.0,0,0,1.7,17.2,0,0,91,0.0
2026-04-14T18:06:50.478905,node2,10372,95,"NODE2,10372,375,95",18,-48,12.75,,15.0,0,0,3.9,17.2,0,0,91,0.0
2026-04-14T18:06:55.132333,node1,15294,92,"NODE1,15294,390,92",18,-41,13.25,,15.0,0,0,0.2,17.1,0,0,91,0.0
2026-04-14T18:07:04.573384,node2,10373,95,"NODE2,10373,375,95",18,-47,13.0,,15.0,0,0,1.7,17.3,0,0,91,0.0
2026-04-14T18:07:05.770915,node1,15295,91,"NODE1,15295,391,91",18,-41,13.25,,15.0,0,0,0.6,17.3,0,0,91,0.0
2026-04-14T18:07:16.409578,node1,15296,91,"NODE1,15296,394,91",18,-41,13.5,,15.0,0,0,1.6,17.3,0,0,91,0.0
2026-04-14T18:07:19.747770,node2,10374,94,"NODE2,10374,378,94",18,-47,13.25,,15.0,0,0,0.4,17.2,0,0,91,0.0
2026-04-14T18:07:26.084772,node1,15297,91,"NODE1,15297,392,91",18,-41,13.5,,15.0,0,0,2.4,17.2,0,0,91,0.0
2026-04-14T18:07:34.921776,node2,10375,95,"NODE2,10375,374,95",18,-46,13.5,,15.0,0,0,2.0,17.2,0,0,91,0.0
2026-04-14T18:07:35.759305,node1,15298,91,"NODE1,15298,392,91",18,-41,13.25,,15.0,0,0,0.3,17.2,0,0,91,0.0
2026-04-14T18:07:45.435349,node1,15299,92,"NODE1,15299,389,92",18,-41,13.0,,15.0,0,0,1.7,17.2,0,0,91,0.0
2026-04-14T18:07:47.935259,node2,10376,94,"NODE2,10376,376,94",18,-48,13.5,,15.0,0,0,0.2,17.2,0,0,91,0.0
2026-04-14T18:07:55.110806,node1,15300,92,"NODE1,15300,390,92",18,-41,13.25,,15.0,0,0,2.4,17.2,0,0,91,0.0
2026-04-14T18:08:00.948491,node2,10377,95,"NODE2,10377,373,95",18,-47,14.0,,15.0,0,0,0.3,17.2,0,0,91,0.0
2026-04-14T18:08:02.860778,node1,15301,92,"NODE1,15301,390,92",18,-42,12.75,,15.0,0,0,0.5,17.2,0,0,91,0.0
2026-04-14T18:08:12.536343,node1,15302,91,"NODE1,15302,391,91",18,-41,13.0,,15.0,0,0,1.9,17.2,0,0,91,0.0
2026-04-14T18:08:15.042448,node2,10378,94,"NODE2,10378,379,94",18,-47,12.75,,15.0,0,0,2.4,17.2,0,0,91,0.0
2026-04-14T18:08:20.286567,node1,15303,92,"NODE1,15303,390,92",18,-41,13.5,,15.0,0,0,2.1,17.2,0,0,91,0.0
2026-04-14T18:08:29.961898,node1,15304,91,"NODE1,15304,391,91",18,-41,13.25,,15.0,0,0,1.7,17.2,0,0,91,0.0
2026-04-14T18:08:30.216347,node2,10379,95,"NODE2,10379,374,95",18,-48,13.25,,15.0,0,0,1.0,17.2,0,0,91,0.0
2026-04-14T18:08:40.599950,node1,15305,92,"NODE1,15305,390,92",18,-40,13.25,,15.0,0,0,1.5,17.2,0,0,91,0.0
2026-04-14T18:08:43.229622,node2,10380,93,"NODE2,10380,382,93",18,-47,13.25,,15.0,0,0,0.3,17.2,0,0,91,0.0
2026-04-14T18:08:48.351519,node1,15306,91,"NODE1,15306,391,91",18,-41,13.25,,15.0,0,0,3.0,17.2,0,0,91,0.0
2026-04-14T18:08:57.323756,node2,10381,94,"NODE2,10381,377,94",18,-47,13.5,,15.0,0,0,0.2,17.2,0,0,91,0.0
2026-04-14T18:08:58.988513,node1,15307,92,"NODE1,15307,389,92",18,-41,13.25,,15.0,0,0,8.4,17.2,0,0,91,0.0
2026-04-14T18:09:09.627911,node1,15308,91,"NODE1,15308,391,91",18,-41,13.0,,15.0,0,0,1.5,17.2,0,0,91,0.0
2026-04-14T18:09:11.417735,node2,10382,94,"NODE2,10382,380,94",18,-48,13.0,,15.0,0,0,0.0,17.2,0,0,91,0.0
2026-04-14T18:09:18.341647,node1,15309,92,"NODE1,15309,390,92",18,-41,13.75,,15.0,0,0,0.2,17.2,0,0,91,0.0
2026-04-14T18:09:25.512712,node2,10383,94,"NODE2,10383,380,94",18,-48,13.5,,15.0,0,0,2.2,17.2,0,0,91,0.0
2026-04-14T18:09:26.090479,node1,15310,91,"NODE1,15310,391,91",18,-40,14.0,,15.0,0,0,1.3,17.1,0,0,91,0.0
2026-04-14T18:09:34.908375,node1,15311,92,"NODE1,15311,390,92",18,-41,13.75,,15.0,0,0,1.8,17.2,0,0,91,0.0
2026-04-14T18:09:40.711002,node2,10384,94,"NODE2,10384,379,94",18,-47,13.25,,15.0,0,0,0.3,17.2,0,0,91,0.0
