timestamp,node_id,soil_pct,payload_bytes,rtt_cloud_ms,jitter_ms,cpu_percent,ram_percent
1772112256.9248362,node1,100,51,136.1921,2.1555,0.0,3.7
1772112258.281085,node2,100,51,136.4784,0.375,0.0,3.7
1772112265.7668254,node1,100,51,136.6777,0.4857,0.1,3.7
1772112272.0336504,node2,100,51,136.7106,0.2322,0.0,3.7
1772112275.0594373,node1,92,50,135.9248,0.7529,0.0,3.7
1772112284.4980712,node1,100,50,136.2972,0.3724,0.0,3.7
1772112295.3889472,node1,100,51,136.3764,0.0792,0.0,3.8
1772112297.8933797,node2,100,51,136.2505,0.4601,0.0,3.8
1772112304.0609612,node1,100,51,138.1967,1.8203,0.0,3.8
1772112311.479925,node2,100,51,135.0384,1.2121,0.0,3.7
1772112313.9502745,node1,100,51,136.3485,1.8482,0.0,3.7
1772112323.2603838,node1,100,51,136.3351,0.0134,0.0,3.7
1772112324.7026873,node2,100,51,136.1568,1.1184,0.2,3.7
1772112333.0524826,node1,100,51,136.8477,0.5126,0.0,3.7
1772112338.1172864,node2,100,51,135.2224,0.9344,0.0,3.7
1772112341.469482,node1,100,51,138.304,1.4563,0.1,3.7
1772112351.3314722,node1,100,51,136.9491,1.3549,0.1,3.7
1772112351.7726088,node2,100,51,135.2689,0.0465,0.0,3.7
1772112360.0408766,node1,100,51,136.3778,0.5713,0.0,3.7
1772112362.8348253,node2,100,51,135.2344,0.0346,0.1,3.7
1772112368.9200559,node1,100,51,136.0846,0.2933,0.0,3.8
1772112374.6826026,node2,100,51,136.3702,1.1358,0.0,3.7
1772112379.189642,node1,100,51,138.5343,2.4498,0.1,3.7
1772112387.582,node1,100,51,136.3239,2.2104,0.0,3.7
1772112397.09638,node1,100,51,136.1368,0.1872,0.0,3.7
1772112398.5969553,node2,100,51,136.277,0.0932,0.0,3.8
1772112405.939915,node1,100,51,136.4763,0.3395,0.0,3.7
1772112411.4945018,node2,100,51,136.1132,0.1638,0.0,3.7
1772112414.185228,node1,100,51,136.3149,0.1614,0.1,3.7
1772112423.5415018,node2,100,50,136.3361,0.2229,0.0,3.7
1772112424.4472704,node1,100,51,136.1182,0.1967,0.0,3.7
1772112432.6991615,node1,100,51,134.1727,1.9455,0.0,3.7
1772112435.0180485,node2,100,51,134.2714,2.0647,0.1,3.7
1772112443.223885,node1,100,51,131.0291,3.1435,0.0,3.7
1772112452.747595,node1,100,51,129.9553,1.0738,0.0,3.7
1772112461.2182279,node2,100,51,131.2578,3.0136,0.0,3.7
1772112462.114782,node1,100,51,132.4327,2.4774,0.0,3.7
1772112472.364824,node2,100,51,130.9752,0.2825,0.0,3.7
1772112480.7162194,node1,100,51,131.0725,1.3602,0.0,3.7
1772112484.5783598,node2,100,50,131.9716,0.9964,0.0,3.7
1772112490.0664299,node1,100,51,132.021,0.9484,0.0,3.7
1772112498.507183,node2,100,50,130.1961,1.7755,0.0,3.7
1772112500.0246494,node1,100,51,131.2475,0.7734,0.0,3.7
1772112510.079965,node1,100,51,137.1667,5.9192,0.0,3.7
1772112512.3255641,node2,100,51,131.2919,1.0958,0.0,3.7
1772112520.9881506,node1,100,51,132.509,4.6577,0.0,3.7
1772112526.1640317,node2,100,51,130.8765,0.4153,0.0,3.7
1772112530.3330789,node1,95,50,130.2242,2.2848,0.1,3.7
1772112540.689342,node1,76,50,134.1813,3.957,0.0,3.7
1772112548.428857,node2,100,51,134.1147,3.2382,0.0,3.7
1772112551.2064745,node1,62,50,136.076,1.8947,0.0,3.7
1772112560.639393,node2,100,51,140.9636,6.8488,0.0,3.7
1772112561.2979078,node1,57,50,136.075,0.001,0.0,3.7
1772112569.5114357,node1,54,50,136.1523,0.0772,0.0,3.7
1772112573.0281105,node2,100,51,136.1122,4.8513,0.0,3.7
1772112580.3165154,node1,53,50,137.3985,1.2462,0.0,3.7
1772112585.1730247,node2,100,51,136.2307,0.1185,0.0,3.7
1772112590.2107675,node1,48,50,136.1599,1.2386,0.0,3.7
1772112598.0664592,node2,100,51,136.0767,0.154,0.0,3.7
1772112601.350829,node1,60,50,136.1201,0.0398,0.0,3.7
1772112620.5225697,node1,70,50,136.0841,0.036,0.0,3.7
1772112621.3412774,node2,100,50,136.2669,0.1903,0.3,3.7
1772112631.538704,node1,65,50,136.2865,0.2024,0.0,3.7
1772112634.5149875,node2,100,51,136.25,0.0169,0.1,3.7
1772112642.5293472,node1,66,50,136.1473,0.1392,0.1,3.7
1772112647.1687458,node2,100,51,136.2617,0.0117,0.0,3.7
1772112652.6677248,node1,76,50,137.2621,1.1148,0.0,3.7
1772112658.7762206,node2,100,51,136.2369,0.0248,0.0,3.7
1772112662.779787,node1,100,51,138.3951,1.133,0.0,3.7
1772112672.7380514,node2,100,50,136.3118,0.0749,0.0,3.7
1772112673.3282893,node1,92,49,136.2903,2.1048,0.0,3.7
1772112682.9455137,node1,94,49,135.5312,0.7591,0.0,3.7
1772112684.2812319,node2,100,51,136.6398,0.3281,0.2,3.7
1772112691.201308,node1,100,50,137.4104,1.8792,0.0,3.7
1772112695.7816317,node2,100,51,136.2464,0.3934,0.1,3.7
1772112699.5050123,node1,100,51,136.184,1.2264,0.0,3.7
1772112707.4326944,node2,100,51,136.2169,0.0296,0.0,3.7
1772112708.1060534,node1,100,51,135.5908,0.5932,0.0,3.7
1772112716.2917256,node1,100,51,136.2977,0.7069,0.0,3.7
1772112721.174245,node2,100,51,136.2274,0.0105,0.0,3.7
1772112725.249924,node1,100,50,135.4682,0.8295,0.0,3.7
1772112734.7739575,node2,100,51,135.3052,0.9222,0.0,3.7
1772112735.5732384,node1,100,50,136.169,0.7007,0.0,3.7
1772112745.0000668,node1,100,51,141.1791,5.0101,0.0,3.7
1772112748.1037514,node2,100,51,136.1747,0.8695,0.0,3.7
1772112753.997404,node1,100,50,135.4344,5.7447,0.0,3.7
1772112760.1996243,node2,100,51,136.2333,0.0587,0.1,3.7
1772112764.8784034,node1,100,50,136.4076,0.9732,0.0,3.7
1772112773.419741,node2,100,51,139.6,3.3667,0.0,3.7
1772112775.0886025,node1,100,50,135.2432,1.1644,0.0,3.7
1772112785.0152676,node1,100,50,136.174,0.9308,0.0,3.7
1772112785.333819,node2,100,51,136.822,2.7781,0.0,3.7
1772112794.126076,node1,100,50,135.9956,0.1783,0.0,3.7
1772112798.4604023,node2,100,51,136.7168,0.1051,0.0,3.7
1772112803.655694,node1,100,51,136.7588,0.7632,0.0,3.7
1772112812.3013008,node2,100,51,136.868,0.1512,0.0,3.7
1772112814.3761523,node1,100,51,136.1718,0.587,0.0,3.7
1772112823.9738445,node1,100,51,136.1594,0.0124,0.0,3.7
1772112825.3009403,node2,100,51,136.9274,0.0594,0.0,3.7
1772112834.6391513,node1,100,51,136.2426,0.0832,0.0,3.7
1772112836.8813388,node2,100,51,136.3604,0.567,0.0,3.7
1772112845.0081558,node1,100,51,136.0464,0.1962,0.0,3.7
1772112850.7618446,node2,100,51,134.2444,2.116,0.0,3.7
1772112853.4793856,node1,100,51,134.2568,1.7896,0.0,3.7
1772112862.5396826,node1,100,51,134.4192,0.1624,0.0,3.7
1772112863.5564888,node2,100,51,134.2115,0.0329,0.0,3.7
1772112871.9852905,node1,100,51,133.9822,0.437,0.0,3.7
1772112877.285546,node2,100,51,134.4597,0.2482,0.1,3.7
1772112880.3342998,node1,100,51,134.3298,0.3476,0.0,3.7
1772112899.1953807,node1,100,51,134.5215,0.1917,0.0,3.7
1772112904.0054584,node2,100,51,135.9015,1.4417,0.0,3.7
1772112909.208454,node1,100,51,134.1178,0.4036,0.0,3.7
1772112918.7391815,node1,100,51,134.4481,0.3302,0.0,3.7
1772112928.3999155,node1,100,51,134.1443,0.3037,0.1,3.7
1772112931.201287,node2,100,51,133.6346,2.2669,0.0,3.7
1772112938.2351718,node1,100,51,133.9638,0.1805,0.0,3.7
1772112943.0985436,node2,100,51,133.9967,0.3622,0.0,3.7
1772112948.7243602,node1,100,51,134.2659,0.3021,0.0,3.7
1772112956.6276746,node2,100,51,134.362,0.3653,0.0,3.7
1772112957.5676646,node1,100,51,138.869,4.6031,0.0,3.7
1772112967.1908324,node1,100,51,134.388,4.4811,0.0,3.7
1772112968.8737736,node2,100,51,134.5959,0.2339,0.0,3.7
1772112978.1564183,node1,100,51,134.1872,0.2007,0.0,3.7
1772112982.15479,node2,100,51,134.0687,0.5271,0.1,3.7
1772112987.433005,node1,100,51,134.2189,0.0317,0.0,3.7
1772112994.2288473,node2,100,51,134.2611,0.1924,0.0,3.7
1772112997.0682871,node1,100,51,134.2077,0.0112,0.0,3.7
1772113006.096976,node2,100,51,134.3076,0.0465,0.0,3.7
1772113007.0956354,node1,100,51,134.2602,0.0525,0.0,3.7
1772113015.6750574,node1,100,51,134.1987,0.0615,0.0,3.7
